question_number,question,options,source
1,What is Compliance management?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
2,What is risk management?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
3,What are the components of risk management?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
4,Why is risk management important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
5,How does risk management work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
6,What are the benefits of risk management?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
7,How does compliance management work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
8,Why is compliance management important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
9,What are the benefits of compliance management?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
10,How does GRC work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
11,Why is GRC important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
12,What are the benefits of GRC?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
13,How does enterprise risk management work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
14,Why is enterprise risk management important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
15,What are the benefits of enterprise risk management?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
16,What is cybersecurity?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
17,How does cybersecurity work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
18,Why is cybersecurity important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
19,What are the benefits of cybersecurity?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
20,What is vulnerability?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
21,How does vulnerability work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
22,Why is vulnerability important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
23,What are the benefits of vulnerability?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
24,What is threat?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
25,How does threat work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
26,Why is threat important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
27,What are the benefits of threat?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
28,What is compliance framework?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
29,How does compliance framework work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
30,Why is compliance framework important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
31,What are the benefits of compliance framework?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
32,What is regulatory compliance?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
33,How does regulatory compliance work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
34,Why is regulatory compliance important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
35,What are the benefits of regulatory compliance?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
36,What is data privacy?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
37,How does data privacy work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
38,Why is data privacy important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
39,What are the benefits of data privacy?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
40,What is GDPR?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
41,How does GDPR work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
42,Why is GDPR important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
43,What are the benefits of GDPR?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
44,What is HIPAA?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
45,How does HIPAA work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
46,Why is HIPAA important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
47,What are the benefits of HIPAA?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
48,What is NIST?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
49,How does NIST work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
50,Why is NIST important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
51,What are the benefits of NIST?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
52,What is ISO 27001?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
53,How does ISO 27001 work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
54,Why is ISO 27001 important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
55,What are the benefits of ISO 27001?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
56,What is cyber insurance?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
57,How does cyber insurance work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
58,Why is cyber insurance important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
59,What are the benefits of cyber insurance?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
60,What is risk assessment?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
61,How does risk assessment work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
62,Why is risk assessment important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
63,What are the benefits of risk assessment?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
64,What is compliance audit?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
65,How does compliance audit work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
66,Why is compliance audit important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
67,What are the benefits of compliance audit?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
68,How does supply chain risk work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
69,Why is supply chain risk important?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
70,What are the benefits of supply chain risk?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
71,What is shadow IT?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
72,How does shadow IT work?,,EB-Ultimate-guide-IT-Risk-and-Compliance-EN.pdf
